game,year,month,month_idx,draw_nr,numbers
on-numara,2020,Ağustos,8,5,"[2, 4, 8, 10, 13, 15, 19, 24, 27, 29, 34, 40, 44, 45, 46, 48, 51, 53, 62, 75, 76, 80]"
on-numara,2020,Ağustos,8,4,"[1, 2, 8, 9, 11, 12, 13, 16, 19, 21, 31, 32, 33, 37, 49, 50, 51, 52, 62, 69, 74, 76]"
on-numara,2020,Ağustos,8,3,"[2, 4, 5, 12, 20, 22, 23, 25, 26, 27, 28, 29, 46, 51, 56, 57, 58, 59, 60, 65, 67, 71]"
on-numara,2020,Ağustos,8,2,"[2, 7, 9, 16, 27, 31, 42, 43, 44, 45, 48, 49, 51, 52, 53, 58, 63, 64, 65, 68, 69, 79]"
on-numara,2020,Ağustos,8,1,"[1, 3, 6, 9, 10, 13, 15, 18, 25, 42, 45, 46, 51, 52, 54, 59, 61, 65, 68, 69, 73, 78]"
on-numara,2020,Eylül,9,9,"[4, 5, 7, 8, 11, 13, 20, 23, 29, 32, 33, 42, 46, 48, 52, 56, 57, 68, 74, 75, 77, 80]"
on-numara,2020,Eylül,9,8,"[1, 10, 12, 17, 19, 22, 24, 27, 29, 30, 32, 38, 45, 49, 51, 53, 55, 58, 61, 62, 70, 78]"
on-numara,2020,Eylül,9,7,"[1, 3, 6, 7, 13, 16, 17, 26, 28, 29, 30, 37, 39, 42, 43, 49, 64, 68, 69, 77, 79, 80]"
on-numara,2020,Eylül,9,6,"[1, 5, 10, 19, 20, 26, 29, 36, 39, 42, 55, 59, 61, 64, 65, 68, 71, 72, 74, 77, 78, 80]"
on-numara,2020,Ekim,10,16,"[2, 6, 8, 10, 15, 19, 26, 34, 40, 44, 48, 49, 51, 54, 57, 60, 70, 71, 74, 75, 77, 80]"
on-numara,2020,Ekim,10,15,"[1, 3, 15, 32, 33, 34, 37, 38, 40, 43, 45, 48, 52, 55, 60, 61, 64, 65, 66, 68, 71, 78]"
on-numara,2020,Ekim,10,14,"[2, 3, 5, 8, 14, 20, 21, 23, 28, 32, 34, 35, 38, 40, 44, 46, 51, 55, 57, 60, 64, 80]"
on-numara,2020,Ekim,10,13,"[2, 6, 8, 10, 18, 20, 22, 24, 30, 35, 36, 37, 48, 52, 53, 55, 56, 60, 64, 70, 71, 80]"
on-numara,2020,Ekim,10,12,"[6, 10, 11, 19, 22, 23, 24, 25, 26, 30, 35, 36, 38, 44, 47, 52, 55, 67, 70, 73, 77, 78]"
on-numara,2020,Ekim,10,11,"[5, 10, 16, 18, 19, 23, 24, 32, 33, 36, 40, 41, 43, 45, 47, 53, 57, 60, 61, 62, 69, 76]"
on-numara,2020,Ekim,10,10,"[5, 6, 10, 12, 13, 15, 16, 20, 26, 32, 34, 40, 48, 52, 55, 57, 58, 60, 69, 73, 75, 78]"
on-numara,2020,Kasım,11,25,"[2, 4, 8, 10, 20, 22, 24, 25, 26, 33, 34, 35, 38, 40, 43, 46, 47, 51, 57, 62, 68, 75]"
on-numara,2020,Kasım,11,24,"[1, 2, 4, 11, 13, 15, 16, 23, 24, 25, 27, 46, 47, 48, 53, 59, 60, 62, 63, 66, 70, 75]"
on-numara,2020,Kasım,11,23,"[2, 3, 6, 7, 10, 12, 16, 17, 18, 28, 41, 49, 50, 53, 55, 57, 62, 63, 65, 71, 73, 74]"
on-numara,2020,Kasım,11,22,"[1, 2, 3, 4, 9, 14, 16, 22, 24, 27, 35, 37, 47, 49, 51, 53, 57, 60, 61, 70, 73, 77]"
on-numara,2020,Kasım,11,21,"[3, 4, 7, 8, 14, 16, 20, 21, 23, 27, 28, 31, 32, 33, 35, 47, 54, 55, 56, 65, 74, 76]"
on-numara,2020,Kasım,11,20,"[1, 10, 11, 15, 16, 17, 18, 25, 27, 32, 33, 34, 35, 44, 46, 50, 58, 62, 65, 67, 69, 73]"
on-numara,2020,Kasım,11,19,"[7, 10, 19, 24, 27, 32, 39, 44, 45, 46, 48, 49, 52, 54, 55, 62, 63, 72, 73, 74, 76, 79]"
on-numara,2020,Kasım,11,18,"[2, 14, 20, 21, 22, 30, 34, 36, 37, 38, 43, 45, 47, 52, 59, 60, 67, 73, 74, 75, 77, 79]"
on-numara,2020,Kasım,11,17,"[1, 2, 10, 12, 15, 23, 25, 33, 34, 35, 37, 38, 41, 48, 53, 54, 57, 60, 67, 71, 73, 79]"
on-numara,2020,Aralık,12,33,"[6, 11, 18, 19, 22, 27, 32, 34, 38, 44, 51, 52, 55, 56, 57, 58, 59, 65, 66, 69, 74, 77]"
on-numara,2020,Aralık,12,32,"[2, 3, 11, 12, 19, 20, 26, 27, 28, 34, 35, 37, 41, 50, 52, 57, 58, 64, 67, 69, 75, 78]"
on-numara,2020,Aralık,12,31,"[4, 5, 6, 7, 14, 23, 25, 27, 29, 32, 36, 38, 39, 42, 47, 48, 50, 55, 59, 60, 70, 71]"
on-numara,2020,Aralık,12,30,"[1, 4, 7, 8, 20, 21, 25, 27, 32, 36, 40, 41, 42, 43, 45, 49, 57, 64, 66, 67, 70, 74]"
on-numara,2020,Aralık,12,29,"[12, 15, 17, 21, 22, 23, 28, 30, 31, 34, 36, 40, 44, 48, 51, 54, 58, 65, 67, 68, 73, 78]"
on-numara,2020,Aralık,12,28,"[2, 3, 4, 6, 8, 11, 14, 16, 24, 31, 33, 36, 51, 57, 61, 63, 70, 71, 75, 77, 79, 80]"
on-numara,2020,Aralık,12,27,"[4, 5, 16, 27, 28, 29, 30, 36, 38, 39, 40, 46, 47, 54, 64, 66, 67, 69, 71, 72, 74, 78]"
on-numara,2020,Aralık,12,26,"[10, 11, 12, 16, 18, 20, 26, 29, 33, 34, 35, 43, 47, 48, 50, 52, 55, 66, 67, 69, 71, 75]"
on-numara,2021,Ocak,1,9,"[4, 7, 12, 13, 19, 25, 26, 27, 31, 36, 39, 42, 43, 50, 54, 60, 65, 69, 71, 78, 79, 80]"
on-numara,2021,Ocak,1,8,"[1, 2, 7, 9, 18, 22, 24, 28, 29, 30, 31, 32, 35, 36, 47, 52, 56, 62, 69, 71, 77, 78]"
on-numara,2021,Ocak,1,7,"[2, 6, 12, 13, 14, 15, 16, 23, 30, 34, 35, 46, 49, 55, 56, 60, 67, 70, 71, 75, 76, 80]"
on-numara,2021,Ocak,1,6,"[1, 3, 15, 18, 19, 23, 24, 27, 28, 29, 34, 37, 38, 41, 42, 45, 58, 62, 65, 71, 72, 80]"
on-numara,2021,Ocak,1,5,"[1, 2, 6, 8, 11, 13, 17, 18, 22, 24, 28, 32, 38, 50, 60, 63, 66, 68, 73, 74, 77, 80]"
on-numara,2021,Ocak,1,4,"[6, 7, 14, 16, 17, 19, 26, 33, 36, 37, 38, 39, 42, 46, 51, 52, 57, 61, 62, 67, 73, 78]"
on-numara,2021,Ocak,1,3,"[1, 10, 23, 24, 25, 31, 35, 37, 40, 43, 45, 53, 56, 59, 65, 68, 74, 75, 76, 77, 78, 80]"
on-numara,2021,Ocak,1,2,"[1, 4, 6, 8, 11, 13, 15, 17, 29, 31, 34, 35, 43, 47, 51, 52, 55, 59, 65, 70, 71, 72]"
on-numara,2021,Ocak,1,1,"[1, 5, 19, 20, 24, 28, 29, 37, 38, 39, 41, 53, 57, 58, 60, 62, 64, 66, 70, 75, 79, 80]"
on-numara,2021,Şubat,2,17,"[1, 5, 16, 30, 32, 37, 38, 39, 42, 44, 49, 50, 53, 62, 67, 68, 70, 71, 74, 77, 79, 80]"
on-numara,2021,Şubat,2,16,"[8, 9, 15, 18, 19, 25, 26, 31, 35, 39, 41, 46, 47, 56, 59, 60, 62, 67, 70, 75, 79, 80]"
on-numara,2021,Şubat,2,15,"[3, 4, 5, 14, 22, 25, 26, 30, 34, 37, 44, 46, 55, 56, 61, 62, 64, 69, 74, 77, 79, 80]"
on-numara,2021,Şubat,2,14,"[7, 14, 18, 23, 27, 29, 31, 34, 35, 37, 40, 43, 46, 48, 50, 51, 52, 60, 61, 65, 69, 79]"
on-numara,2021,Şubat,2,13,"[1, 2, 3, 5, 6, 7, 18, 20, 22, 23, 24, 36, 37, 46, 48, 52, 60, 69, 71, 75, 76, 79]"
on-numara,2021,Şubat,2,12,"[5, 7, 8, 12, 15, 18, 20, 21, 22, 25, 28, 31, 42, 45, 49, 55, 58, 65, 68, 72, 77, 78]"
on-numara,2021,Şubat,2,11,"[7, 8, 11, 20, 25, 26, 29, 33, 36, 38, 40, 41, 45, 47, 52, 55, 57, 59, 60, 64, 73, 74]"
