tconst,titleType,originalTitle,startYear,genres,averageRating,numVotes,m_rating,Streaming
tt0013442,movie,"Nosferatu, eine Symphonie des Grauens",1922.0,"Fantasy,Horror",7.8,118298.0,0.0,"Cultpix,JustWatchTV"
tt0031381,movie,Gone with the Wind,1939.0,"Drama,Romance,War",8.2,345117.0,0.0,"Apple TV,Apple TV"
tt0032138,movie,The Wizard of Oz,1939.0,"Adventure,Family,Fantasy",8.1,448609.0,0.0,"Apple TV,Apple TV"
tt0032455,movie,Fantasia,1940.0,"Animation,Family,Fantasy",7.7,107552.0,0.0,Disney Plus
tt0032910,movie,Pinocchio,1940.0,"Adventure,Animation,Comedy",7.5,165985.0,0.0,Netflix
tt0033563,movie,Dumbo,1941.0,"Adventure,Animation,Drama",7.2,146605.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0034492,movie,Bambi,1942.0,"Adventure,Animation,Drama",7.3,159369.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0040746,movie,Rope,1948.0,"Crime,Drama,Mystery",7.9,159928.0,0.0,"Apple TV,Apple TV"
tt0040897,movie,The Treasure of the Sierra Madre,1948.0,"Adventure,Drama,Western",8.2,136862.0,0.0,"Apple TV,Apple TV"
tt0042332,movie,Cinderella,1950.0,"Animation,Family,Fantasy",7.3,180325.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0043274,movie,Alice in Wonderland,1951.0,"Adventure,Animation,Comedy",7.3,159991.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0046183,movie,Peter Pan,1953.0,"Adventure,Animation,Family",7.3,159091.0,0.0,Apple TV
tt0046250,movie,Roman Holiday,1953.0,"Comedy,Drama,Romance",8.0,152083.0,0.0,"Netflix,Apple TV,Apple TV"
tt0048280,movie,Lady and the Tramp,1955.0,"Adventure,Animation,Comedy",7.3,154797.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0048545,movie,Rebel Without a Cause,1955.0,Drama,7.6,100543.0,0.0,"Apple TV,Apple TV"
tt0050212,movie,The Bridge on the River Kwai,1957.0,"Adventure,Drama,War",8.1,240877.0,0.0,"Apple TV,Apple TV"
tt0052618,movie,Ben-Hur,1959.0,"Adventure,Drama",8.1,261929.0,0.0,"Apple TV,Apple TV"
tt0054047,movie,The Magnificent Seven,1960.0,"Action,Adventure,Drama",7.7,106289.0,0.0,"Apple TV,Apple TV"
tt0054698,movie,Breakfast at Tiffany's,1961.0,"Comedy,Drama,Romance",7.5,198021.0,0.0,"Apple TV,Apple TV"
tt0055254,movie,One Hundred and One Dalmatians,1961.0,"Adventure,Animation,Comedy",7.3,189075.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0055614,movie,West Side Story,1961.0,"Crime,Drama,Musical",7.6,124399.0,0.0,"Amazon Prime Video,Apple TV,Apple TV"
tt0055928,movie,Dr. No,1962.0,"Action,Adventure,Thriller",7.2,185459.0,0.0,"Apple TV,Apple TV"
tt0056869,movie,The Birds,1963.0,"Drama,Horror,Mystery",7.6,212272.0,0.0,"Apple TV,Apple TV"
tt0057076,movie,From Russia with Love,1963.0,"Action,Adventure,Thriller",7.3,150492.0,0.0,"Apple TV,Apple TV"
tt0057115,movie,The Great Escape,1963.0,"Adventure,Drama,Thriller",8.2,267223.0,0.0,Amazon Prime Video
tt0057546,movie,The Sword in the Stone,1963.0,"Adventure,Animation,Comedy",7.1,110152.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0058150,movie,Goldfinger,1964.0,"Action,Adventure,Thriller",7.7,208590.0,0.0,"Apple TV,Apple TV"
tt0058331,movie,Mary Poppins,1964.0,"Comedy,Family,Fantasy",7.8,192180.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0059742,movie,The Sound of Music,1965.0,"Biography,Drama,Family",8.1,274551.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0059800,movie,Thunderball,1965.0,"Action,Adventure,Thriller",6.9,131194.0,0.0,"Apple TV,Apple TV"
tt0061418,movie,Bonnie and Clyde,1967.0,"Action,Biography,Crime",7.7,124338.0,0.0,"blutv,Apple TV,Apple TV"
tt0061852,movie,The Jungle Book,1967.0,"Adventure,Animation,Comedy",7.6,205645.0,0.0,"Disney Plus,Apple TV"
tt0062512,movie,You Only Live Twice,1967.0,"Action,Adventure,Thriller",6.8,121425.0,0.0,"Apple TV,Apple TV"
tt0063350,movie,Night of the Living Dead,1968.0,"Horror,Thriller",7.8,144843.0,0.0,"Cultpix,JustWatchTV"
tt0064115,movie,Butch Cassidy and the Sundance Kid,1969.0,"Biography,Crime,Drama",8.0,231730.0,0.0,Disney Plus
tt0064276,movie,Easy Rider,1969.0,"Adventure,Drama",7.2,120217.0,0.0,"Apple TV,Apple TV"
tt0064665,movie,Midnight Cowboy,1969.0,Drama,7.8,126159.0,0.0,blutv
tt0064757,movie,On Her Majesty's Secret Service,1969.0,"Action,Adventure,Thriller",6.7,103151.0,0.0,"Apple TV,Apple TV"
tt0065421,movie,The AristoCats,1970.0,"Adventure,Animation,Comedy",7.1,119584.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0066206,movie,Patton,1970.0,"Biography,Drama,War",7.9,110876.0,0.0,Disney Plus
tt0066995,movie,Diamonds Are Forever,1971.0,"Action,Adventure,Thriller",6.5,117814.0,0.0,"Apple TV,Apple TV"
tt0066999,movie,Dirty Harry,1971.0,"Action,Crime,Thriller",7.7,174374.0,0.0,"Apple TV,Apple TV"
tt0067116,movie,The French Connection,1971.0,"Action,Crime,Drama",7.7,143868.0,0.0,"Disney Plus,Apple TV,Apple TV"
tt0067992,movie,Willy Wonka & the Chocolate Factory,1971.0,"Adventure,Comedy,Family",7.8,236080.0,0.0,Apple TV
tt0069704,movie,American Graffiti,1973.0,"Comedy,Drama",7.4,101760.0,0.0,"Apple TV,Apple TV"
tt0070034,movie,Enter the Dragon,1973.0,"Action,Crime,Thriller",7.6,116327.0,0.0,"Apple TV,Apple TV"
tt0070328,movie,Live and Let Die,1973.0,"Action,Adventure,Thriller",6.7,119286.0,0.0,"Apple TV,Apple TV"
tt0070608,movie,Robin Hood,1973.0,"Adventure,Animation,Comedy",7.5,144106.0,0.0,Amazon Prime Video
tt0071230,movie,Blazing Saddles,1974.0,"Comedy,Western",7.7,158032.0,0.0,"Apple TV,Apple TV"
tt0071807,movie,The Man with the Golden Gun,1974.0,"Action,Adventure,Thriller",6.7,116691.0,0.0,"Apple TV,Apple TV"
tt0072684,movie,Barry Lyndon,1975.0,"Adventure,Drama,War",8.1,192131.0,0.0,"Apple TV,Apple TV"
tt0072890,movie,Dog Day Afternoon,1975.0,"Biography,Crime,Drama",8.0,281045.0,0.0,"Apple TV,Apple TV"
tt0073629,movie,The Rocky Horror Picture Show,1975.0,"Comedy,Horror,Musical",7.4,174308.0,0.0,Disney Plus
tt0074119,movie,All the President's Men,1976.0,"Drama,History,Thriller",7.9,130721.0,0.0,"Apple TV,Apple TV"
tt0074285,movie,Carrie,1976.0,"Horror,Mystery",7.4,217137.0,0.0,"Apple TV,Apple TV"
tt0074486,movie,Eraserhead,1977.0,"Fantasy,Horror",7.3,136218.0,0.0,MUBI
tt0074958,movie,Network,1976.0,Drama,8.1,178375.0,0.0,Amazon Prime Video
tt0075005,movie,The Omen,1976.0,"Horror,Mystery",7.5,140714.0,0.0,Disney Plus
tt0076752,movie,The Spy Who Loved Me,1977.0,"Action,Adventure,Thriller",7.0,119926.0,0.0,"Apple TV,Apple TV"
tt0076786,movie,Suspiria,1977.0,Horror,7.3,111399.0,0.0,Apple TV
tt0077631,movie,Grease,1978.0,"Comedy,Musical,Romance",7.2,313092.0,0.0,"Apple TV,Apple TV"
tt0077651,movie,Halloween,1978.0,"Horror,Thriller",7.7,322215.0,0.0,Cultpix
tt0079116,movie,Escape from Alcatraz,1979.0,"Biography,Crime,Drama",7.6,154777.0,0.0,"Netflix,Apple TV,Apple TV"
